Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,Diet_factor,Heating Energy Source_factor,Recycling_factor,Cooking_With_factor,Social Activity_factor,total_co2,Monthly Grocery Bill_share,Vehicle Monthly Distance Km_share,Waste Bag Weekly Count_share,How Long TV PC Daily Hour_share,How Many New Clothes Monthly_share,How Long Internet Daily Hour_share,Diet_factor_share,Heating Energy Source_factor_share,Recycling_factor_share,Cooking_With_factor_share,Social Activity_factor_share
overweight,female,pescatarian,daily,coal,public,often,230,frequently,210,large,4,7,26,1,No,['Metal'],"['Stove', 'Oven']",2238,Engineering,Mumbai,India,0.0,0.0,0.0,0.0,0.0,478.0,0.4811715481171548,0.4393305439330544,0.008368200836820083,0.014644351464435146,0.05439330543933055,0.0020920502092050207,0.0,0.0,0.0,0.0,0.0
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,often,114,rarely,9,extra large,3,9,38,5,No,['Metal'],"['Stove', 'Microwave']",1892,Finance,Navi Mumbai,India,0.0,0.0,0.0,0.0,0.0,178.0,0.6404494382022472,0.05056179775280899,0.016853932584269662,0.05056179775280899,0.21348314606741572,0.028089887640449437,0.0,0.0,0.0,0.0,0.0
overweight,male,omnivore,more frequently,wood,private,never,138,never,2472,small,1,14,47,6,Sometimes,['Metal'],"['Oven', 'Microwave']",2595,Sales,Delhi,India,0.0,0.0,0.0,0.0,0.0,2678.0,0.05153099327856609,0.9230769230769231,0.0003734129947722181,0.005227781926811053,0.01755041075429425,0.0022404779686333084,0.0,0.0,0.0,0.0,0.0
overweight,male,omnivore,twice a day,wood,walk/bicycle,sometimes,157,rarely,74,medium,3,20,5,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1074,Operations,Bengaluru,India,0.0,0.0,0.0,0.0,0.0,266.0,0.5902255639097744,0.2781954887218045,0.011278195488721804,0.07518796992481203,0.018796992481203006,0.02631578947368421,0.0,0.0,0.0,0.0,0.0
obese,female,vegetarian,daily,coal,private,often,266,very frequently,8457,large,1,3,5,6,Yes,['Paper'],['Oven'],4743,Student,Chennai,India,0.0,0.0,0.0,0.0,0.0,8738.0,0.03044174868390936,0.9678416113527123,0.00011444266422522316,0.0003433279926756695,0.0005722133211261158,0.000686655985351339,0.0,0.0,0.0,0.0,0.0
overweight,male,vegetarian,less frequently,wood,public,sometimes,144,frequently,658,large,1,22,18,9,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1647,Other,Kolkata,India,0.0,0.0,0.0,0.0,0.0,852.0,0.16901408450704225,0.7723004694835681,0.0011737089201877935,0.025821596244131457,0.02112676056338028,0.01056338028169014,0.0,0.0,0.0,0.0,0.0
underweight,female,vegan,less frequently,wood,private,never,56,rarely,5363,medium,4,9,11,19,Sometimes,[],"['Grill', 'Airfryer']",1832,Engineering,Hyderabad,India,0.0,0.0,0.0,0.0,0.0,5462.0,0.010252654705236177,0.9818747711461003,0.0007323324789454412,0.0016477480776272428,0.0020139143170999634,0.003478579274990846,0.0,0.0,0.0,0.0,0.0
underweight,female,vegan,more frequently,coal,walk/bicycle,sometimes,59,very frequently,54,extra large,3,5,39,15,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2322,Finance,Pune,India,0.0,0.0,0.0,0.0,0.0,175.0,0.33714285714285713,0.30857142857142855,0.017142857142857144,0.02857142857142857,0.22285714285714286,0.08571428571428572,0.0,0.0,0.0,0.0,0.0
overweight,male,omnivore,daily,wood,public,never,200,frequently,1376,medium,3,3,31,15,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",2494,Sales,Jaipur,India,0.0,0.0,0.0,0.0,0.0,1628.0,0.12285012285012285,0.8452088452088452,0.0018427518427518428,0.0018427518427518428,0.019041769041769043,0.009213759213759214,0.0,0.0,0.0,0.0,0.0
underweight,female,pescatarian,daily,wood,public,often,135,rarely,440,extra large,1,8,23,18,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1178,Operations,Ahmedabad,India,0.0,0.0,0.0,0.0,0.0,625.0,0.216,0.704,0.0016,0.0128,0.0368,0.0288,0.0,0.0,0.0,0.0,0.0
normal,female,vegetarian,more frequently,wood,public,never,146,never,1561,extra large,4,12,27,21,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1427,Student,Mumbai,India,0.0,0.0,0.0,0.0,0.0,1771.0,0.08243929983060418,0.8814229249011858,0.002258610954263128,0.006775832862789385,0.015245623941276116,0.011857707509881422,0.0,0.0,0.0,0.0,0.0
